fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,density,pH,sulphates,alcohol,free.so2,total.so2,good
6.6,0.17,0.32,1.5,0.029,0.9926,3.24,0.53,10.2,15.3,100,1
5.5,0.32,0.49,2.9,0.053,0.9932,3.29,0.76,9.9,46.3,122.4,0
7.1,0.39,0.35,12.4,0.044,0.9941,3.17,0.29,11.6,25.3,75.9,0
8.2,0.18,0.37,1,0.041,0.9904,2.88,0.59,12,38.2,92.6,1
6.2,0.28,0.43,7.3,0.048,0.9957,3.11,0.46,9.1,67.3,199.4,0
7.3,0.42,0.2,1.5,0.06,0.9943,3.06,0.42,9.4,15.1,164.3,1
6.7,0.19,0.32,10,0.04,0.9953,3.06,0.49,10.2,74.2,192.6,1
5.8,0.15,0.32,5.8,0.041,0.9947,3.53,0.46,10.6,56.8,149.8,1
7.3,0.19,0.3,1.3,0.046,0.994,3.33,0.57,10.3,31.6,130,1
6.4,0.1,0.26,1.2,0.036,0.9912,3.16,0.57,10.8,49,146,1
7.5,0.22,0.34,1.1,0.06,0.993,3.49,0.48,10.8,25,94.4,1
5.8,0.15,0.18,1.5,0.038,0.9912,3.27,0.44,11.4,24.5,101.3,1
7.1,0.31,0.3,3.9,0.037,0.9946,3.27,0.64,10.3,34.7,156.5,1
5.6,0.22,0.29,3,0.022,0.9908,3.25,0.51,11.2,21.8,92.2,1
7.9,0.27,0.27,1.8,0.034,0.9908,2.97,0.52,11.8,24.1,113,1
7.4,0.26,0.24,1.7,0.037,0.9936,3.45,0.59,10.3,27.8,120.1,1
6.8,0.65,0.29,4.4,0.031,0.9903,3.12,0.61,13,16.4,70.3,1
6.9,0.21,0.33,1.3,0.056,0.9941,3.63,0.79,10.3,34.6,138.1,1
6.9,0.39,0.21,4.2,0.03,0.9929,3,0.88,11.6,10.2,106.7,0
6.3,0.31,0.37,4.9,0.041,0.9897,3.24,0.57,13.1,45.2,134.8,1
6.7,0.24,0.37,8.1,0.045,0.9959,3.15,0.52,9.5,52.4,202.6,1
6.4,0.25,0.45,11.4,0.042,0.9969,3.18,0.5,9.6,44.3,213.6,0
8.1,0.23,0.33,5.9,0.049,0.9929,3.11,0.42,10.9,20,109.3,0
6.1,0.3,0.35,3.3,0.037,0.9897,3.18,0.39,12.4,32.4,173.8,1
7.1,0.29,0.36,1,0.035,0.9903,3.09,0.46,12.1,7.2,72.9,1
7.3,0.24,0.36,8.6,0.054,0.9952,3.07,0.48,10.2,40.5,126.2,0
8.2,0.19,0.43,14.1,0.053,1.0008,3.28,0.76,8.7,42.2,137.7,1
7.3,0.27,0.48,1.5,0.033,0.9917,2.97,0.39,10.7,20.1,121,1
5.5,0.23,0.23,16.6,0.045,0.9986,3.25,0.47,8.9,41.9,126.5,1
6.9,0.28,0.28,2.1,0.041,0.9918,3.2,0.56,11.6,22.8,179.2,0
6.8,0.28,0.3,11.8,0.053,0.9954,3.01,0.58,10.3,58.3,134.4,1
6.8,0.24,0.3,11.8,0.043,0.9953,3.02,0.57,10.3,56.3,112.3,1
6.3,0.4,0.02,6,0.047,0.994,3.18,0.41,9.9,23.9,73.7,0
6.1,0.14,0.2,12.9,0.059,0.9956,3.33,0.42,11.8,23.4,197.3,1
7.4,0.34,0.55,13.4,0.053,0.9982,3.04,0.49,8.6,64.5,194.6,0
7.9,0.43,0.27,10.8,0.05,0.9956,3.07,0.46,11.4,29.1,159.7,1
5.5,0.75,0.03,2.6,0.043,0.9931,3.34,0.39,9.2,25.3,92.2,0
6.4,0.25,0.4,17.1,0.053,0.9989,3.1,0.46,9.2,20.8,118.6,1
7.5,0.33,0.35,1.6,0.039,0.9934,3.23,0.51,11.4,30.8,161.4,1
6.3,0.24,0.37,2,0.032,0.9897,3.3,0.36,12.1,6,64,0
6.1,0.21,0.29,11.7,0.033,0.9932,3.18,0.36,12,20.1,92.3,1
7.4,0.26,0.27,11.7,0.052,0.9968,3.14,0.61,9.8,55.7,164.1,0
7,0.11,0.3,10.2,0.041,0.9955,3.17,0.38,9.8,35.5,109.2,1
7.8,0.3,0.27,8.5,0.035,0.9938,2.97,0.44,11.7,21.4,110.2,1
7.9,0.16,0.31,1.5,0.053,0.995,3.29,0.77,9.6,42.1,136.1,1
5.2,0.33,0.18,4.6,0.032,0.9911,3.16,0.41,11,34.1,142.1,1
6.8,0.32,0.23,2.3,0.044,0.9935,3.18,0.39,9.4,13.4,65.8,1
7.1,0.39,0.4,2.4,0.042,0.9917,3.04,0.49,11.5,50,211.5,0
6.7,0.26,0.27,11.8,0.05,0.9959,2.86,0.48,9.8,29.2,133.7,1
6.9,0.35,0.24,2.5,0.029,0.9908,3.13,0.35,11.9,25.5,92.4,1
7.2,0.37,0.37,4.7,0.021,0.9909,3.07,0.49,12.7,37.5,119.5,1
7,0.35,0.53,10.1,0.052,0.996,3.06,0.41,9.3,44.7,163.4,0
6.2,0.34,0.2,18.1,0.07,0.9994,3.16,0.51,8.8,32.9,159.7,1
7.8,0.31,0.53,13,0.043,0.9982,2.98,0.46,9,66.4,119.4,1
6.2,0.23,0.29,16.5,0.058,0.9966,3.2,0.37,10.4,57.3,122.3,0
6.9,0.53,0.53,7.8,0.037,0.9925,3.27,0.47,12.2,25,178.8,1
7.5,0.26,0.27,7.2,0.029,0.9923,2.93,0.37,11.5,15.1,71.5,1
6.8,0.2,0.32,8.1,0.052,0.996,3.25,0.56,10.3,29.3,240.6,1
7.1,0.18,0.36,7.3,0.052,0.9958,3.34,0.51,9.5,56.2,178.2,1
7.2,0.35,0.28,10.3,0.11,0.9976,2.96,0.58,9.4,36.4,206.3,0
5.6,0.24,0.21,9.8,0.049,0.9955,3.22,0.44,10.1,47,123.1,1
7.2,0.29,0.49,1.1,0.031,0.9898,3.06,0.32,12,30.6,94.6,1
7,0.33,0.37,8.8,0.039,0.996,3.2,0.48,10.6,43.5,171.1,1
6.3,0.18,0.22,5.5,0.047,0.9941,3.1,0.53,10,42.2,129.8,0
6.6,0.44,0.27,11.4,0.032,0.9922,3.02,0.4,12.5,29,83.9,1
10.1,0.2,0.39,1.2,0.05,0.9939,3,0.43,10.4,19.8,147.5,1
5.9,0.21,0.27,12.2,0.047,0.9973,3.3,0.36,9,49.4,158.6,1
6.5,0.26,0.74,7.9,0.046,0.9957,3.2,0.43,9.3,45.5,219.1,1
6.3,0.34,0.29,7.4,0.048,0.9955,3.34,0.61,10.1,41.3,307.2,1
6.8,0.23,0.4,9.3,0.041,0.9952,3.13,0.62,10,41.1,150.4,1
